Row,Title,Original File,Renamed File
1,Introduction to Software Development on SAP HANA,hana1_RecordOfAchievement.pdf,1. Introduction to Software Development on SAP HANA.pdf
2,Introduction to Mobile Solution Development for the Enterprise,mobile1_RecordOfAchievement.pdf,2. Introduction to Mobile Solution Development for the Enterprise.pdf
3,Introduction to SAP HANA Cloud Platform,hanacloud1_RecordOfAchievement.pdf,3. Introduction to SAP HANA Cloud Platform.pdf
4,ABAP Development for SAP HANA,a4h1_RecordOfAchievement.pdf,4. ABAP Development for SAP HANA.pdf
5,ABAP Development on SAP HANA (2),hana5_ConfirmationOfParticipation.pdf,5. ABAP Development on SAP HANA (2).pdf
6,Next Steps in Software Development on  SAP HANA,hana3_ConfirmationOfParticipation.pdf,6. Next Steps in Software Development on  SAP HANA.pdf
7,Software Development on SAP HANA  (Delta SPS 09),hana7_RecordOfAchievement.pdf,7. Software Development on SAP HANA  (Delta SPS 09).pdf
8,An Introduction to SAP HANA  by Dr. Vishal Sikka,hdms1_RecordOfAchievement.pdf,8. An Introduction to SAP HANA  by Dr. Vishal Sikka.pdf
9,SAP's UX Strategy in a Nutshell by  Sam Yen,uxn1_RecordOfAchievement.pdf,9. SAP's UX Strategy in a Nutshell by  Sam Yen.pdf
10,Spatial Analysis with SAP HANA Platform,cp6_RecordOfAchievement.pdf,10. Spatial Analysis with SAP HANA Platform.pdf
11,Touch IoT with SAP Leonardo,iot3_RecordOfAchievement.pdf,11. Touch IoT with SAP Leonardo.pdf
12,Full-Text Search with SAP HANA   Platform,hsesh1_RecordOfAchievement.pdf,12. Full-Text Search with SAP HANA   Platform.pdf
13,Big Data with SAP Vora - Engines   and Tools,hsvo2_RecordOfAchievement.pdf,13. Big Data with SAP Vora - Engines   and Tools.pdf
14,SAP Cloud Platform Essentials (Update Q3/2017),cp1-2_RecordOfAchievement.pdf,14. SAP Cloud Platform Essentials (Update Q32017).pdf
15,Enterprise Machine Learning in a Nutshell,ml1-1_RecordOfAchievement.pdf,15. Enterprise Machine Learning in a Nutshell.pdf
16,Getting Started with Data Science,lum1_RecordOfAchievement.pdf,16. Getting Started with Data Science.pdf
17,Software Development on SAP HANA (Update Q4/2017),hana6_RecordOfAchievement.pdf,17. Software Development on SAP HANA (Update Q42017).pdf
18,Data Science in Action - Building a Predictive Churn Model,ds2_RecordOfAchievement.pdf,18. Data Science in Action - Building a Predictive Churn Model.pdf
19,Enterprise Deep Learning with TensorFlow,ml2_RecordOfAchievement.pdf,19. Enterprise Deep Learning with TensorFlow.pdf
20,SAP Leonardo Design-Led Engagements Demystified,dleo1_RecordOfAchievement.pdf,20. SAP Leonardo Design-Led Engagements Demystified.pdf
21,Developing Web Apps with SAPUI5,ui51_ConfirmationOfParticipation.pdf,21. Developing Web Apps with SAPUI5.pdf
22,Big Data with SAP HANA Vora,hsvo1_ConfirmationOfParticipation.pdf,22. Big Data with SAP HANA Vora.pdf
23,Software Development on SAP HANA (Update Q4/2016),cp5_RecordOfAchievement.pdf,23. Software Development on SAP HANA (Update Q42016).pdf
24,Software Development on SAP HANA (Delta SPS 11),cp8_RecordOfAchievement.pdf,24. Software Development on SAP HANA (Delta SPS 11).pdf
25,Build Your Own SAP Fiori App in the Cloud â€“ 2016 Edition,fiori-ea1_ConfirmationOfParticipation.pdf,25. Build Your Own SAP Fiori App in the Cloud â€“ 2016 Edition.pdf
26,Text Analytics with SAP HANA Platform,hsgra1_RecordOfAchievement.pdf,26. Text Analytics with SAP HANA Platform.pdf
27,In-Memory Data Management In a Nutshell,hana-warmup_ConfirmationOfParticipation.pdf,27. In-Memory Data Management In a Nutshell.pdf
28,Extending SAP S/4HANA Cloud and SAP S/4HANA,s4h7_ConfirmationOfParticipation (1).pdf,28. Extending SAP S4HANA Cloud and SAP S4HANA.pdf
29,Understanding SAP Fiori Launchpad,fiops1_RecordOfAchievement.pdf,29. Understanding SAP Fiori Launchpad.pdf
30,Getting Started with SAP Lumira,leo1_ConfirmationOfParticipation.pdf,30. Getting Started with SAP Lumira.pdf
31,SAP Cloud Platform Version Control   with Git,git1_RecordOfAchievement.pdf,31. SAP Cloud Platform Version Control   with Git.pdf
32,Cloud-Native Development with SAP   Cloud Platform,cp7_RecordOfAchievement.pdf,32. Cloud-Native Development with SAP   Cloud Platform.pdf
33,Introduction to SAP HANA Dynamic Tiering,hsdt1_RecordOfAchievement.pdf,33. Introduction to SAP HANA Dynamic Tiering.pdf
34,Analytics with SAP Cloud Platform,abap1_ConfirmationOfParticipation.pdf,34. Analytics with SAP Cloud Platform.pdf
35,Analyzing Connected Data with SAP   HANA Graph,cp13_ConfirmationOfParticipation.pdf,35. Analyzing Connected Data with SAP   HANA Graph.pdf
36,SAP Leonardo Design-Led Engagements Basics,dleo2_ConfirmationOfParticipation.pdf,36. SAP Leonardo Design-Led Engagements Basics.pdf
37,SAP Leonardo - Enabling the Intelligent Enterprise,di1_ConfirmationOfParticipation.pdf,37. SAP Leonardo - Enabling the Intelligent Enterprise.pdf
38,SAP HANA Data Management Suite,s4h27_ConfirmationOfParticipation.pdf,38. SAP HANA Data Management Suite.pdf
39,SAP Cloud Platform API Management,s4h7_ConfirmationOfParticipation.pdf,39. SAP Cloud Platform API Management.pdf
40,Building Applications with SAP Cloud Application Programming Model,kyma1_ConfirmationOfParticipation.pdf,40. Building Applications with SAP Cloud Application Programming Model.pdf
41,Software Development on SAP HANA (Update Q1/2019),btpt1_RecordOfAchievement.pdf,41. Software Development on SAP HANA (Update Q12019).pdf
42,Business Process Automation in SAP S/4HANA with SAP Intelligent RPA,rpa3_ConfirmationOfParticipation.pdf,42. Business Process Automation in SAP S4HANA with SAP Intelligent RPA.pdf
